"CI Number"	"Name"	"CI Status"	"Type"	"Manufacturer"	"Model"	"Solution"	"Environnement"	"Server Role"	"Critical Level"	"Supported by company"	"Location (Full)"	"GxP Impact"	"Monitoring"	"Availability"	"PRA"	"Complexity/Application IT Criticity"	"SLA Uplift"	"Technical Support Group"	"Application Support Group"	"Maintenance Group"	"Maintenance Schedule"	
"A200D11A"	"A200D11A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU Symphony Storage"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D11"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200D11B"	"A200D11B"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU Symphony Storage"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D11"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200D12A"	"A200D12A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU Symphony UCS"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D12"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200D12B"	"A200D12B"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU Symphony UCS"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D12"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200D22A"	"A200D22A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU LSSE Dev"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D22"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200D22B"	"A200D22B"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU LSSE Dev"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D22"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200D23A"	"A200D23A"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU LSSE Prod"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D23"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200D23B"	"A200D23B"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU LSSE Prod"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D23"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200D24A"	"A200D24A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU NBAR"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200D24B"	"A200D24B"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU NBAR"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200H06A"	"A200H06A"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU DMZ"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H6"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200H06B"	"A200H06B"	"In production"	"PDU"	"Raritan"	"PX2-2732"	"INFRA"	"PRD"	"PDU DMZ"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H6"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"A200L06A"	"A200L06A"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU LAN"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/L6"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	""	""	""	
"A200L06B"	"A200L06B"	"In production"	"PDU"	"Raritan"	"PX2-2493"	"INFRA"	"PRD"	"PDU LAN"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/L6"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	""	""	""	
